issue_type,latitude,longitude,date,data_source
Nuisance,32.3304756,-86.313251,2021/2/5 15:40,311_Service_Request
Nuisance,32.3313215,-86.3134492,2021/2/5 15:40,311_Service_Request
Nuisance,32.3308793,-86.3134492,2021/2/5 15:44,311_Service_Request
Nuisance,32.331155,-86.3138058,2021/2/5 15:44,311_Service_Request
Nuisance,32.3298004,-86.2931554,2021/2/5 16:23,311_Service_Request
Clean Inlets,32.377442,-86.2776013,2021/2/5 16:28,311_Service_Request
Nuisance,32.3703762,-86.2754908,2021/2/5 16:35,311_Service_Request
Nuisance,32.3704575,-86.2750669,2021/2/5 16:37,311_Service_Request
Nuisance,32.3451891,-86.2213892,2021/2/5 18:24,311_Service_Request
Nuisance,32.3387569,-86.1672276,2021/2/5 18:26,311_Service_Request
Nuisance,32.3578984,-86.268332,2021/2/5 21:04,311_Service_Request
Clean Inlets,32.333203,-86.2472367,2021/2/5 22:16,311_Service_Request
Nuisance,32.3595622,-86.2903406,2021/2/5 22:46,311_Service_Request
Nuisance,32.4140756,-86.2744795,2021/2/8 13:22,311_Service_Request
Nuisance,32.4140818,-86.2741292,2021/2/8 13:25,311_Service_Request
Nuisance,32.4160393,-86.2826486,2021/2/8 13:35,311_Service_Request
Nuisance,32.4164264,-86.2822917,2021/2/8 13:36,311_Service_Request
Nuisance,32.4160044,-86.2829658,2021/2/8 13:37,311_Service_Request
Nuisance,32.4138729,-86.2811021,2021/2/8 13:37,311_Service_Request
Nuisance,32.4123892,-86.2802297,2021/2/8 13:39,311_Service_Request
Nuisance,32.4163407,-86.2748761,2021/2/8 13:42,311_Service_Request
Nuisance,32.4156718,-86.2769185,2021/2/8 13:43,311_Service_Request
Nuisance,32.4165461,-86.2810965,2021/2/8 13:46,311_Service_Request
Nuisance,32.4160775,-86.2809797,2021/2/8 13:46,311_Service_Request
Nuisance,32.418439,-86.2816176,2021/2/8 13:48,311_Service_Request
Nuisance,32.4187953,-86.2809633,2021/2/8 13:48,311_Service_Request
Nuisance,32.4152616,-86.2742415,2021/2/8 13:51,311_Service_Request
Nuisance,32.3827816,-86.2742415,2021/2/8 17:05,311_Service_Request
Nuisance,32.3144313,-86.2822129,2021/2/8 18:24,311_Service_Request
Nuisance,32.3002304,-86.2606367,2021/2/8 18:44,311_Service_Request
Nuisance,32.307746,-86.3495715,2021/2/8 19:02,311_Service_Request
Nuisance,32.3363752,-86.2806262,2021/2/8 19:17,311_Service_Request
Nuisance,32.3361869,-86.280931,2021/2/8 19:24,311_Service_Request
Clean Inlets,32.355227,-86.3184639,2021/2/8 19:29,311_Service_Request
Nuisance,32.3118479,-86.2240359,2021/2/8 20:13,311_Service_Request
Nuisance,32.3167588,-86.2962364,2021/2/8 20:17,311_Service_Request
Nuisance,32.3871767,-86.2734087,2021/2/8 20:29,311_Service_Request
Nuisance,32.3832218,-86.2734285,2021/2/8 21:26,311_Service_Request
Nuisance,32.3638536,-86.2566125,2021/2/8 21:34,311_Service_Request
